Organization,Drive Link,Collaboratory Profile,Title,First name,Last name
Save the Family Foundation of Arizona ,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/c1da1d83-fe06-4cf4-5222-817d3bf4616c,Chief Executive Officer,Robyn,Julien
"Scouting Arizona, Grand Canyon Council (formerly Boy Scouts of America, Grand Canyon Chapter)",https://drive.google.com/drive/folders/1VtcS84I1ABcSvZzmE1fpaSdRnEALqnew?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/f585d263-32d2-4bfa-6015-2532bc90a365,Scout Executive & CEO,Andy,Price
St. Mary's Food Bank Alliance,https://drive.google.com/drive/folders/1BYVrYCT1Nn4HIIEYrkbrq-0FZ5Bj_Mud?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/f761985d-b930-42a0-40b1-5406ef128363,President & CEO,Milton ,Liu
St. Vincent de Paul,https://drive.google.com/drive/folders/14MDFknDLzMmrgTcNIhZJqcY4zAcPkMuZ?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/fdd8ffc3-24a7-4e04-4476-b213c5f470f9,Executive Director,Shannon ,Clancy
Tanner Community Development Corporation,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/a79813ff-592d-46c1-4224-b50a6ebfd182,Executive Director,Kerwin V. ,Brown
Teach For America,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/ce859292-e6b7-47ab-5ae7-ddf629ff867a,Executive Director,Lauren ,Arndt
Terros Health,https://drive.google.com/drive/folders/1Zbwu5nxeda2dGEpdMnl7W6KlvHpgvXeK?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/77c73526-c972-4be5-42de-296f8905e4ba,President and CEO,Karen,Hoffman Tepper
The Centers for Habilitation,https://drive.google.com/drive/folders/1XajLEtcI7C8m8_g7ELYiaWc1oepexXf_?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/057b6503-2730-4b8b-41b9-62c69fc24198,CEO,Jeff,Bernick
"The Salvation Army, Southwest Division",,,Lt. Colonel,Henry ,Graciani
UMOM New Day Centers ,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/66914d44-5535-4dd4-7d28-18663c10050a,Chief Executive Officer,Monique ,Lopez 
United Food Bank,https://drive.google.com/drive/folders/1JVL-YiyS68pojuGeYbMrNhpsLsyzC_8Q?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/80b5ce6b-ef4e-4a39-6fcd-2d8b3725fdad,President & EO,Jason,Reed
Urban League (Greater Phoenix),,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/e8dfed02-f476-45cf-6f34-0b183f2e61ff,,,
Valle del Sol,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/295e5a02-ae10-45b0-77e6-0542aca2b09e,President & CEO,Mike ,Renaud
Valley Leadership,https://drive.google.com/drive/folders/1nE3UkhmSb6ZckJzST67pc5ZbxeSL2ctV?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/593ab337-0f24-4838-5813-a4544c9c20f6,CEO,Dave,Brown
Valley of the Sun United Way,https://drive.google.com/drive/folders/1CDBF9nJXJIM_U08odnpKOfsEOgm6YUec?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/bbdf857c-8ad9-43c3-4a49-e3e443ce198a,President & CEO,Carla ,Vargas Jasa
Valley of the Sun YMCA,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/32058bbc-bf64-4da0-76d0-76a6adf80da5,President & CEO,Bryan ,Madden
Wesley Community & Health Centers ,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/a6ba20e3-6a5f-492e-4fdd-e947440b8d45,CEO,Blaine,Bandi
